date,vehicle_id,model,configuration,region,demo_type,customer_segment,converted,cycle_time_hrs,utilization_rate,revenue_generated,customer_satisfaction,mileage_driven
2026-02-28,FLT0201,Model Y,Performance,Southwest,Corporate Demo,Corporate,0,2.1,0.712,0.0,4.0,23.0
2026-02-28,FLT0102,Model S,Performance,Southeast,Test Drive,Corporate,0,1.69,0.924,0.0,4.1,25.1
2026-02-28,FLT0067,Model 3,Performance,West Coast,Event Demo,Fleet,0,2.31,0.555,0.0,4.5,7.8
2026-02-28,FLT0320,Model Y,Standard Range,Southwest,Test Drive,Government,0,1.51,0.751,0.0,4.6,19.0
2026-02-28,FLT0464,Model 3,Performance,East Coast,Test Drive,Fleet,0,1.05,0.933,0.0,4.2,49.5
2026-02-28,FLT0498,Model X,Standard Range,Southwest,Event Demo,Government,0,2.78,0.853,0.0,4.7,39.3
2026-02-28,FLT0045,Model X,Plaid,West Coast,VIP Demo,Individual,0,1.82,0.695,0.0,3.7,42.3
2026-02-28,FLT0379,Model Y,Long Range,East Coast,VIP Demo,Corporate,0,0.87,0.681,0.0,3.7,14.2
2026-02-28,FLT0113,Cybertruck,Long Range,East Coast,VIP Demo,Government,1,1.78,0.873,59720.59,4.3,25.6
2026-02-28,FLT0039,Model S,Long Range,West Coast,Test Drive,Dealer,0,2.52,0.839,0.0,4.7,38.6
2026-02-28,FLT0140,Model S,Performance,Midwest,VIP Demo,Individual,1,1.36,0.576,78705.93,4.9,8.1
2026-02-28,FLT0192,Model Y,Long Range,Southeast,Dealer Demo,Individual,0,0.95,0.604,0.0,4.6,48.4
2026-02-28,FLT0195,Model X,Plaid,Southwest,Event Demo,Government,0,2.79,0.701,0.0,4.9,44.4
2026-02-28,FLT0090,Model 3,Performance,Southeast,Corporate Demo,Fleet,1,2.98,0.707,38509.39,5.0,42.6
2026-02-28,FLT0090,Model 3,Performance,Southeast,Test Drive,Fleet,0,2.3,0.72,0.0,3.8,25.7
2026-02-28,FLT0095,Model Y,Long Range,East Coast,Corporate Demo,Fleet,1,2.69,0.856,44801.42,4.5,32.7
2026-02-28,FLT0326,Model 3,Standard Range,Southeast,Test Drive,Corporate,0,0.75,0.563,0.0,4.6,7.2
2026-02-28,FLT0480,Model X,Long Range,East Coast,Test Drive,Government,0,1.85,0.852,0.0,3.7,49.7
2026-02-28,FLT0408,Model X,Standard Range,Southeast,Corporate Demo,Dealer,0,1.99,0.819,0.0,4.0,11.4
2026-02-28,FLT0102,Model S,Performance,Southeast,VIP Demo,Corporate,0,1.19,0.773,0.0,4.6,12.9
2026-02-28,FLT0337,Model Y,Performance,Southwest,Dealer Demo,Dealer,0,2.93,0.927,0.0,4.7,19.3
2026-02-28,FLT0481,Model 3,Standard Range,Southwest,Dealer Demo,Government,1,1.44,0.852,39894.08,4.8,18.5
2026-02-28,FLT0094,Cybertruck,Plaid,Southeast,Corporate Demo,Government,0,1.91,0.937,0.0,3.7,15.9
2026-02-28,FLT0027,Model S,Long Range,East Coast,Corporate Demo,Fleet,0,2.81,0.889,0.0,4.6,13.6
2026-02-28,FLT0117,Model X,Plaid,Midwest,Event Demo,Government,0,2.01,0.899,0.0,4.6,37.6
2026-02-28,FLT0209,Model X,Performance,Southeast,VIP Demo,Corporate,0,2.67,0.683,0.0,3.5,47.2
2026-02-28,FLT0125,Model 3,Plaid,East Coast,Test Drive,Government,0,2.24,0.832,0.0,3.9,19.5
2026-02-28,FLT0210,Model 3,Standard Range,East Coast,Event Demo,Government,0,2.12,0.673,0.0,4.8,26.0
2026-02-28,FLT0088,Model X,Plaid,Southeast,Dealer Demo,Fleet,0,1.43,0.716,0.0,3.8,11.6
2026-02-28,FLT0071,Model Y,Plaid,West Coast,Event Demo,Dealer,0,1.95,0.717,0.0,4.0,22.1
2026-02-28,FLT0495,Model Y,Plaid,Southeast,Corporate Demo,Government,0,2.86,0.685,0.0,4.2,37.6
2026-02-28,FLT0094,Cybertruck,Plaid,Southeast,Dealer Demo,Government,1,2.49,0.618,61321.88,4.2,46.3
2026-02-28,FLT0012,Cybertruck,Standard Range,Midwest,VIP Demo,Individual,0,2.6,0.58,0.0,3.6,5.3
2026-02-28,FLT0068,Cybertruck,Plaid,Southeast,Corporate Demo,Corporate,1,0.88,0.637,59736.06,3.6,33.7
2026-02-28,FLT0099,Model Y,Plaid,Southwest,VIP Demo,Government,0,0.54,0.763,0.0,3.5,37.5
2026-02-28,FLT0162,Cybertruck,Performance,West Coast,VIP Demo,Fleet,1,2.53,0.82,61837.01,4.9,9.8
2026-02-28,FLT0174,Cybertruck,Long Range,Midwest,Test Drive,Dealer,1,0.98,0.761,61891.29,3.9,22.9
2026-02-28,FLT0113,Cybertruck,Long Range,East Coast,Event Demo,Government,0,1.11,0.829,0.0,4.7,8.6
2026-02-28,FLT0156,Model S,Long Range,Southeast,Test Drive,Individual,0,1.44,0.74,0.0,4.6,8.7
2026-02-28,FLT0364,Model 3,Plaid,West Coast,Dealer Demo,Fleet,0,2.64,0.588,0.0,3.6,14.5
2026-02-28,FLT0234,Cybertruck,Plaid,Southwest,VIP Demo,Government,1,2.81,0.824,58682.24,4.3,34.6
2026-02-28,FLT0071,Model Y,Plaid,West Coast,Corporate Demo,Fleet,1,1.02,0.608,48507.25,4.7,46.8
2026-02-28,FLT0462,Cybertruck,Long Range,East Coast,Event Demo,Corporate,0,1.92,0.89,0.0,4.3,22.3
2026-02-28,FLT0451,Model Y,Standard Range,West Coast,Corporate Demo,Individual,0,2.94,0.571,0.0,4.8,20.3
2026-02-28,FLT0302,Model 3,Plaid,Midwest,VIP Demo,Dealer,0,2.43,0.562,0.0,5.0,27.1
2026-02-28,FLT0320,Model Y,Standard Range,Southwest,Event Demo,Dealer,0,1.58,0.822,0.0,3.6,32.8
2026-02-28,FLT0222,Model Y,Performance,Southeast,Corporate Demo,Individual,1,0.89,0.835,47629.33,4.6,19.3
2026-02-28,FLT0120,Model S,Long Range,East Coast,Test Drive,Individual,1,1.27,0.694,73273.25,3.7,13.4
2026-02-28,FLT0151,Cybertruck,Standard Range,Southwest,Dealer Demo,Dealer,0,1.52,0.561,0.0,3.6,31.9
2026-02-28,FLT0228,Cybertruck,Performance,Midwest,Event Demo,Government,1,1.53,0.862,61349.06,4.3,49.7
2026-02-28,FLT0471,Model S,Plaid,East Coast,Corporate Demo,Dealer,0,2.21,0.618,0.0,3.9,11.6
2026-02-28,FLT0400,Model S,Plaid,East Coast,Corporate Demo,Government,1,1.25,0.863,73958.44,4.9,37.4
2026-02-28,FLT0030,Model X,Plaid,Southeast,Dealer Demo,Dealer,0,1.64,0.604,0.0,4.1,42.9
2026-02-28,FLT0099,Model Y,Plaid,Southwest,Dealer Demo,Fleet,0,1.58,0.879,0.0,4.4,18.5
2026-02-28,FLT0162,Cybertruck,Performance,West Coast,VIP Demo,Corporate,0,0.94,0.709,0.0,4.6,33.5
2026-02-28,FLT0429,Model S,Performance,Midwest,VIP Demo,Corporate,1,1.2,0.864,73987.62,4.9,14.0
2026-02-28,FLT0003,Model 3,Plaid,West Coast,VIP Demo,Corporate,0,1.88,0.931,0.0,4.6,24.7
2026-02-28,FLT0184,Model S,Long Range,Southwest,Event Demo,Individual,0,2.49,0.714,0.0,4.5,15.9
2026-02-28,FLT0389,Cybertruck,Plaid,East Coast,Corporate Demo,Government,0,0.68,0.946,0.0,4.1,27.8
2026-02-28,FLT0176,Model Y,Plaid,East Coast,Dealer Demo,Dealer,1,2.92,0.831,48467.8,4.4,46.1
2026-02-28,FLT0229,Model X,Long Range,Midwest,Test Drive,Corporate,0,1.39,0.809,0.0,5.0,35.5
2026-02-28,FLT0082,Model S,Standard Range,West Coast,Dealer Demo,Fleet,0,1.58,0.554,0.0,4.3,28.3
2026-02-28,FLT0331,Model X,Plaid,Midwest,VIP Demo,Dealer,1,1.44,0.735,81436.44,4.5,11.8
2026-02-28,FLT0245,Model S,Plaid,Southeast,Test Drive,Government,1,1.54,0.935,72120.52,4.9,11.4
2026-02-28,FLT0096,Model 3,Long Range,Southwest,Event Demo,Fleet,0,1.02,0.743,0.0,4.2,36.4
2026-02-28,FLT0035,Cybertruck,Standard Range,Southwest,Event Demo,Individual,0,2.53,0.596,0.0,4.5,35.5
2026-02-28,FLT0045,Model X,Plaid,West Coast,Corporate Demo,Corporate,0,1.88,0.682,0.0,4.2,40.9
2026-02-28,FLT0035,Cybertruck,Standard Range,Southwest,Corporate Demo,Corporate,0,1.58,0.562,0.0,3.8,31.6
2026-02-28,FLT0290,Model Y,Long Range,Southeast,Dealer Demo,Individual,0,1.01,0.851,0.0,3.6,9.6
2026-02-28,FLT0195,Model X,Plaid,Southwest,VIP Demo,Corporate,0,0.99,0.596,0.0,4.2,48.5
2026-02-28,FLT0406,Model 3,Standard Range,Midwest,Event Demo,Dealer,0,1.48,0.596,0.0,4.2,12.8
2026-02-28,FLT0131,Cybertruck,Plaid,East Coast,Event Demo,Dealer,0,2.18,0.675,0.0,3.7,21.8
2026-02-28,FLT0049,Model 3,Standard Range,Southwest,Corporate Demo,Dealer,0,1.99,0.78,0.0,4.2,29.2
2026-02-28,FLT0135,Model X,Long Range,East Coast,Corporate Demo,Dealer,1,1.22,0.625,82735.88,4.4,43.9
2026-02-28,FLT0472,Cybertruck,Standard Range,Southwest,Test Drive,Government,1,2.54,0.936,60032.63,4.2,35.8
2026-02-28,FLT0454,Model 3,Plaid,Midwest,Dealer Demo,Government,0,0.71,0.562,0.0,3.9,17.4
2026-02-28,FLT0068,Cybertruck,Plaid,Southeast,VIP Demo,Fleet,1,1.64,0.847,61595.52,4.3,10.1
2026-02-28,FLT0052,Model Y,Plaid,Midwest,Test Drive,Fleet,0,2.56,0.697,0.0,3.6,37.4
2026-02-28,FLT0147,Model Y,Standard Range,Southwest,VIP Demo,Corporate,0,0.76,0.882,0.0,3.9,50.0
2026-02-28,FLT0243,Model S,Performance,Southeast,Dealer Demo,Fleet,0,2.54,0.726,0.0,4.7,15.7
2026-02-28,FLT0001,Model 3,Standard Range,Southwest,VIP Demo,Fleet,0,2.03,0.721,0.0,4.7,41.6
2026-02-28,FLT0254,Model X,Long Range,East Coast,Test Drive,Dealer,0,1.2,0.766,0.0,4.6,18.0
2026-02-28,FLT0064,Model X,Performance,Midwest,Event Demo,Dealer,0,2.2,0.588,0.0,4.7,46.3
2026-02-28,FLT0308,Model 3,Standard Range,Southeast,Event Demo,Corporate,0,0.83,0.608,0.0,3.9,43.0
2026-02-28,FLT0350,Model 3,Long Range,Southwest,Dealer Demo,Government,1,2.08,0.801,39500.69,3.6,40.8
2026-02-28,FLT0388,Model X,Performance,Midwest,Test Drive,Government,0,1.2,0.925,0.0,4.9,19.7
2026-02-28,FLT0022,Model S,Plaid,Southwest,Test Drive,Individual,0,1.65,0.816,0.0,3.6,29.0
2026-02-28,FLT0355,Model S,Long Range,Midwest,Corporate Demo,Government,0,1.74,0.679,0.0,4.3,10.9
2026-02-28,FLT0228,Cybertruck,Performance,Midwest,Dealer Demo,Fleet,0,2.41,0.568,0.0,4.8,5.7
2026-02-28,FLT0375,Model X,Performance,East Coast,Corporate Demo,Government,0,2.98,0.721,0.0,4.9,44.7
2026-02-28,FLT0358,Model 3,Performance,Midwest,Event Demo,Corporate,0,2.69,0.587,0.0,3.6,34.9
2026-02-28,FLT0457,Model 3,Long Range,Southwest,Corporate Demo,Individual,0,1.26,0.83,0.0,4.5,36.7
2026-02-28,FLT0217,Cybertruck,Standard Range,Midwest,Test Drive,Corporate,0,0.83,0.64,0.0,3.5,36.3
2026-02-28,FLT0388,Model X,Performance,Midwest,Test Drive,Government,0,1.69,0.642,0.0,4.7,9.6
2026-02-28,FLT0369,Cybertruck,Standard Range,Southwest,Event Demo,Fleet,0,2.43,0.851,0.0,5.0,11.4
2026-02-28,FLT0487,Model 3,Plaid,Southeast,VIP Demo,Dealer,1,2.13,0.726,40889.73,4.4,11.8
2026-02-28,FLT0084,Model S,Long Range,Southwest,Dealer Demo,Dealer,0,2.65,0.585,0.0,4.6,31.5
2026-02-28,FLT0044,Model Y,Performance,Midwest,Dealer Demo,Fleet,0,1.29,0.606,0.0,3.6,29.9
2026-02-28,FLT0447,Model S,Performance,East Coast,VIP Demo,Dealer,1,2.85,0.561,77603.03,4.8,14.2
2026-02-28,FLT0158,Model S,Plaid,Midwest,VIP Demo,Dealer,1,1.48,0.808,77128.51,4.7,15.8
2026-02-28,FLT0333,Model 3,Performance,Midwest,Dealer Demo,Individual,0,2.1,0.578,0.0,3.5,21.2
2026-02-28,FLT0225,Cybertruck,Standard Range,Southeast,Event Demo,Corporate,0,2.6,0.718,0.0,3.8,26.2
2026-02-28,FLT0102,Model S,Performance,Southeast,Test Drive,Individual,0,0.53,0.636,0.0,4.9,22.9
2026-02-28,FLT0293,Model S,Long Range,East Coast,Event Demo,Dealer,0,1.56,0.711,0.0,4.3,11.9
2026-02-28,FLT0094,Cybertruck,Plaid,Southeast,Test Drive,Fleet,1,2.8,0.94,57932.26,4.0,31.4
2026-02-28,FLT0416,Model S,Long Range,Midwest,Test Drive,Fleet,0,2.32,0.889,0.0,3.6,24.6
2026-02-28,FLT0346,Model X,Standard Range,East Coast,Dealer Demo,Dealer,0,1.27,0.847,0.0,3.7,36.9
2026-02-28,FLT0295,Model Y,Standard Range,Southwest,Test Drive,Corporate,0,1.37,0.757,0.0,3.9,21.7
2026-02-28,FLT0226,Model 3,Long Range,West Coast,Event Demo,Individual,0,0.57,0.873,0.0,3.6,37.1
2026-02-28,FLT0463,Cybertruck,Standard Range,West Coast,VIP Demo,Individual,0,1.78,0.572,0.0,3.8,12.1
2026-02-28,FLT0277,Model 3,Performance,Southeast,Test Drive,Dealer,0,0.79,0.846,0.0,4.8,5.6
2026-02-28,FLT0249,Model 3,Standard Range,Southwest,Test Drive,Government,0,2.8,0.622,0.0,3.6,41.1
2026-02-28,FLT0158,Model S,Plaid,Midwest,Dealer Demo,Corporate,0,1.54,0.838,0.0,3.6,21.8
2026-02-28,FLT0266,Model 3,Performance,Midwest,VIP Demo,Individual,1,2.51,0.943,41816.32,3.6,25.9
2026-02-28,FLT0123,Cybertruck,Long Range,Midwest,Event Demo,Fleet,0,1.88,0.553,0.0,4.3,18.7
2026-02-28,FLT0334,Model S,Plaid,Southeast,VIP Demo,Corporate,0,1.98,0.747,0.0,3.8,45.5
2026-02-28,FLT0082,Model S,Standard Range,West Coast,Corporate Demo,Corporate,1,1.53,0.643,73848.18,4.8,44.5
2026-02-28,FLT0031,Cybertruck,Performance,Southeast,Event Demo,Individual,0,1.44,0.845,0.0,3.8,49.2
2026-02-28,FLT0454,Model 3,Plaid,Midwest,Dealer Demo,Government,0,2.93,0.607,0.0,3.6,15.4
2026-02-28,FLT0217,Cybertruck,Standard Range,Midwest,VIP Demo,Government,0,1.43,0.94,0.0,3.6,11.0
2026-02-28,FLT0199,Model 3,Long Range,West Coast,Dealer Demo,Individual,0,0.66,0.815,0.0,3.9,43.3
2026-02-28,FLT0058,Model Y,Performance,Midwest,Dealer Demo,Fleet,0,1.18,0.58,0.0,4.7,31.3
2026-02-28,FLT0142,Model S,Plaid,Midwest,Corporate Demo,Individual,1,1.67,0.713,75269.43,4.9,14.3
2026-02-28,FLT0297,Model S,Standard Range,East Coast,Event Demo,Government,0,0.8,0.613,0.0,4.7,36.4
2026-02-28,FLT0206,Model X,Standard Range,Midwest,Test Drive,Corporate,0,1.32,0.586,0.0,4.0,28.1
2026-02-28,FLT0308,Model 3,Standard Range,Southeast,Event Demo,Fleet,0,0.93,0.931,0.0,4.3,29.8
2026-02-28,FLT0339,Model Y,Long Range,Midwest,Test Drive,Government,1,2.48,0.599,44939.85,4.7,15.0
2026-02-28,FLT0321,Model S,Standard Range,Southwest,Corporate Demo,Government,0,2.08,0.808,0.0,3.9,41.6
2026-02-28,FLT0008,Model X,Performance,Southwest,Test Drive,Individual,0,2.11,0.874,0.0,4.8,41.4
2026-02-28,FLT0010,Model X,Standard Range,Southwest,Test Drive,Individual,0,0.63,0.92,0.0,4.6,27.3
2026-02-28,FLT0016,Model 3,Plaid,Southwest,Dealer Demo,Government,1,1.04,0.625,39119.42,4.8,6.6
2026-02-28,FLT0216,Model X,Plaid,Southwest,VIP Demo,Dealer,1,1.24,0.715,80405.51,3.6,17.6
2026-02-28,FLT0013,Cybertruck,Performance,Southeast,Corporate Demo,Government,1,2.71,0.76,60784.53,4.7,40.8
2026-02-28,FLT0227,Model 3,Long Range,Midwest,Dealer Demo,Fleet,0,2.45,0.688,0.0,4.0,17.2
2026-02-28,FLT0500,Model 3,Plaid,Southwest,Test Drive,Fleet,0,0.57,0.874,0.0,4.7,26.2
2026-02-28,FLT0381,Cybertruck,Standard Range,Southwest,Event Demo,Dealer,0,2.93,0.59,0.0,3.9,41.7
2026-02-28,FLT0281,Model Y,Long Range,Midwest,Test Drive,Corporate,0,2.96,0.705,0.0,5.0,12.8
2026-02-28,FLT0127,Model Y,Standard Range,Midwest,Corporate Demo,Dealer,0,2.35,0.694,0.0,4.6,20.8
2026-02-28,FLT0337,Model Y,Performance,Southwest,VIP Demo,Dealer,1,2.87,0.885,48458.89,5.0,29.4
2026-02-28,FLT0185,Model S,Standard Range,Southeast,Corporate Demo,Government,1,0.64,0.791,71399.46,4.2,19.9
2026-02-28,FLT0041,Model 3,Long Range,East Coast,VIP Demo,Corporate,0,1.35,0.621,0.0,4.8,7.7
2026-02-28,FLT0334,Model S,Plaid,Southeast,Corporate Demo,Dealer,0,0.85,0.594,0.0,4.0,8.3
2026-02-28,FLT0294,Model S,Long Range,West Coast,Dealer Demo,Dealer,1,1.25,0.605,72431.28,4.9,40.6
2026-02-28,FLT0054,Model X,Plaid,Midwest,Dealer Demo,Fleet,1,2.92,0.827,83430.76,4.7,15.0
2026-02-28,FLT0093,Model Y,Long Range,West Coast,VIP Demo,Corporate,0,2.33,0.668,0.0,3.5,36.6
2026-02-28,FLT0020,Model X,Performance,Southeast,VIP Demo,Government,0,2.43,0.777,0.0,4.0,41.4
2026-02-28,FLT0252,Cybertruck,Long Range,East Coast,VIP Demo,Corporate,0,0.76,0.748,0.0,3.6,20.6
2026-02-28,FLT0429,Model S,Performance,Midwest,Event Demo,Corporate,0,2.91,0.879,0.0,4.6,20.1
2026-02-28,FLT0488,Cybertruck,Performance,Southeast,Test Drive,Fleet,0,2.23,0.69,0.0,4.6,7.2
2026-02-28,FLT0354,Cybertruck,Plaid,Southeast,Dealer Demo,Government,0,2.71,0.747,0.0,4.3,9.6
2026-02-28,FLT0306,Model S,Plaid,Southeast,Dealer Demo,Dealer,0,2.22,0.615,0.0,4.8,18.3
2026-02-28,FLT0186,Model S,Standard Range,West Coast,Event Demo,Fleet,0,0.69,0.618,0.0,4.6,29.6
2026-02-28,FLT0373,Model S,Performance,Midwest,Test Drive,Fleet,0,2.03,0.743,0.0,4.9,12.4
2026-02-28,FLT0032,Model 3,Performance,Southwest,Dealer Demo,Corporate,1,1.33,0.94,39637.12,4.3,46.7
2026-02-28,FLT0165,Cybertruck,Performance,Southeast,VIP Demo,Fleet,0,1.24,0.588,0.0,4.3,27.1
2026-02-28,FLT0070,Model Y,Standard Range,Southeast,Test Drive,Fleet,1,0.72,0.88,47587.93,4.2,9.4
2026-02-28,FLT0211,Model S,Standard Range,East Coast,Corporate Demo,Corporate,0,2.94,0.739,0.0,4.7,26.2
2026-02-28,FLT0104,Model S,Long Range,Southeast,Event Demo,Individual,0,1.47,0.698,0.0,3.8,7.0
2026-02-28,FLT0179,Model S,Performance,Midwest,Dealer Demo,Government,0,2.59,0.776,0.0,4.5,9.4
2026-02-28,FLT0428,Model S,Standard Range,West Coast,Event Demo,Dealer,0,2.39,0.641,0.0,4.1,28.5
2026-02-28,FLT0427,Model X,Long Range,Southeast,VIP Demo,Government,0,1.09,0.67,0.0,4.8,6.6
2026-02-28,FLT0152,Model 3,Standard Range,West Coast,VIP Demo,Dealer,0,2.19,0.798,0.0,4.6,12.8
2026-02-28,FLT0218,Model S,Performance,Southwest,Corporate Demo,Corporate,0,0.82,0.719,0.0,4.2,49.9
2026-02-28,FLT0126,Cybertruck,Plaid,West Coast,Corporate Demo,Dealer,1,2.78,0.916,57402.07,4.1,22.9
2026-02-28,FLT0246,Cybertruck,Standard Range,East Coast,Event Demo,Fleet,0,2.79,0.555,0.0,4.4,40.2
2026-02-28,FLT0308,Model 3,Standard Range,Southeast,Test Drive,Government,1,1.92,0.783,41859.33,3.7,9.8
2026-02-28,FLT0057,Cybertruck,Plaid,East Coast,Test Drive,Fleet,0,2.7,0.901,0.0,4.5,30.7
2026-02-28,FLT0102,Model S,Performance,Southeast,Dealer Demo,Individual,1,1.51,0.797,76356.1,4.1,22.8
2026-02-28,FLT0023,Model Y,Performance,East Coast,Event Demo,Corporate,1,1.69,0.657,46400.47,4.0,40.7
2026-02-28,FLT0438,Model 3,Long Range,Southeast,Event Demo,Fleet,0,2.65,0.824,0.0,3.8,18.5
2026-02-28,FLT0355,Model S,Long Range,Midwest,Dealer Demo,Fleet,0,1.54,0.808,0.0,3.8,42.1
2026-02-28,FLT0229,Model X,Long Range,Midwest,Dealer Demo,Dealer,0,2.55,0.756,0.0,4.0,27.8
2026-02-28,FLT0249,Model 3,Standard Range,Southwest,Corporate Demo,Dealer,0,0.57,0.627,0.0,4.8,16.2
2026-02-28,FLT0469,Model X,Plaid,East Coast,Dealer Demo,Individual,0,2.26,0.66,0.0,4.3,33.6
2026-02-28,FLT0350,Model 3,Long Range,Southwest,Test Drive,Individual,0,1.72,0.728,0.0,4.2,29.8
2026-02-28,FLT0301,Cybertruck,Performance,Midwest,Event Demo,Corporate,0,1.15,0.882,0.0,3.5,7.2
2026-02-28,FLT0337,Model Y,Performance,Southwest,VIP Demo,Corporate,0,2.12,0.821,0.0,4.1,5.9
2026-02-28,FLT0071,Model Y,Plaid,West Coast,Test Drive,Government,0,2.12,0.79,0.0,3.9,41.2
2026-02-28,FLT0319,Cybertruck,Long Range,East Coast,Event Demo,Fleet,0,1.44,0.689,0.0,4.2,35.5
2026-02-28,FLT0322,Model X,Standard Range,Southeast,VIP Demo,Government,0,0.52,0.95,0.0,4.8,30.3
2026-02-28,FLT0239,Model X,Standard Range,East Coast,VIP Demo,Dealer,1,2.21,0.743,78690.27,3.9,19.6
2026-02-28,FLT0081,Model 3,Performance,West Coast,Event Demo,Fleet,0,2.88,0.811,0.0,4.3,15.8
2026-02-28,FLT0260,Model Y,Plaid,Southeast,Test Drive,Dealer,0,1.3,0.606,0.0,4.2,18.3
2026-02-28,FLT0006,Cybertruck,Plaid,East Coast,Dealer Demo,Government,0,0.59,0.833,0.0,3.8,37.7
2026-02-28,FLT0251,Model Y,Long Range,Southeast,Corporate Demo,Dealer,0,1.69,0.926,0.0,4.0,12.6
2026-02-28,FLT0031,Cybertruck,Performance,Southeast,VIP Demo,Corporate,1,1.68,0.846,61351.12,4.3,46.1
2026-02-28,FLT0019,Cybertruck,Long Range,East Coast,Event Demo,Individual,0,1.06,0.899,0.0,4.8,21.7
2026-02-28,FLT0060,Model 3,Standard Range,West Coast,VIP Demo,Fleet,0,0.79,0.571,0.0,4.4,32.9
2026-02-28,FLT0241,Model 3,Plaid,West Coast,Dealer Demo,Corporate,0,2.67,0.703,0.0,3.6,43.4
2026-02-28,FLT0483,Model 3,Standard Range,Midwest,Corporate Demo,Corporate,0,2.97,0.907,0.0,3.7,43.8
2026-02-28,FLT0435,Model 3,Long Range,Southwest,Corporate Demo,Individual,0,2.08,0.621,0.0,3.5,17.3
2026-02-28,FLT0016,Model 3,Plaid,Southwest,Corporate Demo,Dealer,0,1.72,0.855,0.0,4.4,33.5
2026-02-28,FLT0487,Model 3,Plaid,Southeast,Dealer Demo,Government,0,1.46,0.565,0.0,4.1,5.6
2026-02-28,FLT0063,Model X,Standard Range,Midwest,Event Demo,Dealer,0,2.19,0.801,0.0,4.5,20.5
2026-02-28,FLT0272,Model X,Standard Range,East Coast,Corporate Demo,Individual,0,1.97,0.617,0.0,3.9,18.1
2026-02-28,FLT0237,Model Y,Plaid,West Coast,VIP Demo,Dealer,0,1.58,0.825,0.0,5.0,27.1
2026-02-28,FLT0196,Model S,Standard Range,Southeast,Corporate Demo,Corporate,0,2.8,0.711,0.0,4.6,10.9
2026-02-28,FLT0304,Model 3,Performance,Southeast,Test Drive,Dealer,0,0.81,0.834,0.0,4.1,33.8
2026-02-28,FLT0467,Model X,Performance,Midwest,VIP Demo,Dealer,1,2.99,0.815,81228.54,3.5,36.0
2026-02-28,FLT0497,Cybertruck,Plaid,Southeast,Dealer Demo,Government,0,1.87,0.74,0.0,4.5,33.4
2026-02-28,FLT0357,Cybertruck,Standard Range,Southwest,Event Demo,Government,0,2.16,0.658,0.0,3.7,42.4
2026-02-28,FLT0183,Model S,Performance,West Coast,Test Drive,Dealer,0,0.79,0.596,0.0,3.8,14.0
2026-02-28,FLT0463,Cybertruck,Standard Range,West Coast,Event Demo,Dealer,0,1.39,0.714,0.0,4.3,46.0
2026-02-28,FLT0433,Model S,Long Range,West Coast,Dealer Demo,Fleet,0,0.53,0.586,0.0,4.4,27.2
2026-02-28,FLT0363,Model S,Plaid,Southeast,Test Drive,Dealer,1,2.31,0.912,76082.53,4.2,49.0
2026-02-28,FLT0151,Cybertruck,Standard Range,Southwest,Event Demo,Government,1,2.53,0.9,62113.49,4.0,35.5
2026-02-28,FLT0244,Model 3,Performance,Southeast,Dealer Demo,Individual,1,2.4,0.568,41407.99,4.5,12.7
